name	g1	g2	mean1	mean2	pvalue	fold_change	enriched	qval	Project
169	Salasmaviridae	Control	Disease	0.000459396831772637	0.000417379819897064	0.699448162586755	1.10066852749598	Control	0.72985895226444	YangY_2021.old
170	Gratiaviridae	Control	Disease	0.00251235607464663	0.000715576358505964	0.293117369346071	3.51095455402149	Control	0.490629177983077	YangY_2021.old
171	Flandersviridae	Control	Disease	0.00286373702896459	0.00861546459732245	0.0584438897278597	3.00846918211532	Disease	0.140265335346863	YangY_2021.old
172	Autographiviridae	Control	Disease	0.000959191015684009	0.00829667085599507	0.0945733697234581	8.64965446958302	Disease	0.206341897578454	YangY_2021.old
173	Caulimoviridae	Control	Disease	1.37205557233916e-06	1.33860522678449e-06	0.573096413571406	1.02498895483549	Control	0.68690321757899	YangY_2021.old
174	Mitoviridae	Control	Disease	3.91452326498413e-06	9.5883543163712e-07	0.0576879989175896	4.08258094749424	Control	0.140265335346863	YangY_2021.old
175	Metaviridae	Control	Disease	4.89682656022588e-06	1.43664895774958e-05	0.911035205953655	2.93383672074208	Disease	0.911035205953655	YangY_2021.old
176	Circoviridae	Control	Disease	6.81922261328426e-05	4.09129200900753e-05	0.0126521520838593	1.66676507036673	Control	0.075912912503156	YangY_2021.old
177	Herelleviridae	Control	Disease	1.81198529248289e-06	8.23292951038258e-07	0.157341361219361	2.20089980145923	Control	0.294259212505909	YangY_2021.old
178	Drexlerviridae	Control	Disease	3.0988707294096e-05	0.00249054259939185	0.0465172655954896	80.3693608692852	Disease	0.139551796786469	YangY_2021.old
179	Guelinviridae	Control	Disease	7.5253074e-07	1.632243e-07	0.00292742947667629	4.61040874428624	Control	0.0351291537201154	YangY_2021.old
180	Chaseviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
181	Schitoviridae	Control	Disease	2.134752136e-06	2.282416976e-06	0.601040315381616	1.06917189003342	Disease	0.68690321757899	YangY_2021.old
182	Retroviridae	Control	Disease	0.00994513568213	0.034907429791034	0.560211235508096	3.51000035663241	Disease	0.68690321757899	YangY_2021.old
183	Rountreeviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
184	Bornaviridae	Control	Disease	7.825459736e-05	0.00026735085864	0.00697451867909643	3.41642366914352	Disease	0.0557961494327715	YangY_2021.old
